id,name,molecule_code,group_id,group_name_cache,class_type_id,class_type_name_cache,experimental_measurements_count,membrane_binding_energy,logp7_4_blm,logp0_blm,molecular_weight,pKa,wiki_name,pubchem,metabolome,chEBI,drugbank,KEGG,PDB,influx,efflux,intracellular_localization,annotation,created_at,updated_at,logp6_5_pampa_ds,logp7_4_pampa_ds,logp0_pampa_ds,logp6_5_caco,logp0_caco,logp0_bbb,logp0_pm,,,,
215,"3,4-Dihydroxyphenylacetic acid","3,4-Dihydroxyphenylacetic_acid",3,Acids,4,Benzenoids,3,-1.4,-9.45,-4.55,168,3.61,"3,4-Dihydroxyphenylacetic acid",547,HMDB01336,41941,DB01702,C01161,DHY,,,Cytoplasm,"3,4-dihydroxyphenylacetic acid (DOPAC) or 3,4-Dihydroxybenzeneacetic acid
is a neuronal metabolite of dopamine (DA). DA undergoes monoamine oxidase-catalyzed oxidative deamination to 3,4-dihydroxyphenylacetaldehyde (DOPAL), which is metabolized primarily to DOPAC via aldehyde dehydrogenase (ALDH2). DOPAC is one of the major phenolic acids formed during human microbial fermentation of tea, citrus, and soy flavonoid supplements. DOPAC exhibits a considerable antiproliferative effect in LNCaP prostate cancer and HCT116 colon cancer cells. The antiproliferative activity of DOPAC may be due to its catechol structure. A similar association of the catechol moiety in the B-ring with antiproliferative activity was demonstrated for flavanones. ",2018-08-16 02:02:20 UTC,2019-03-21 17:50:07 UTC,-9.06,-9.95,-5.42,-4.64,-5.65,-4.5,-5.57,,,,
216,3-Hydroxyphenylacetic acid,3-Hydroxyphenylacetic_acid,3,Acids,4,Benzenoids,3,-2.1,-6.36,-2.99,152,4,3-Hydroxyphenylacetic acid,12122,HMDB00440,17445,,C05593,3HP,,,Cytoplasm,3-Hydroxyphenylacetic acid is a rutin metabolite and an antioxidant. It has a protective biological activity in human. It is a substrate of enzyme 4-hydroxyphenylacetate 3-monooxygenase in the pathway tyrosine metabolism. ,2018-08-16 02:02:20 UTC,2019-05-22 02:17:33 UTC,-6.21,-7.09,-3.98,-4.86,-4.24,-3.95,-4.3,,,,
217,Adenosine,Adenosine,1,Neutral,7,"Nucleosides, nucleotides, and analogues",2,-1.4,-13.1,-13.1,267,Adenosine,60961,HMDB00050,16335,DB00640,C00212,ADN,"SLC2A1(b), SLC28A3, SLC35B2, SLC35B3",,"Extracellular, Mitochondria, Lysosome","Adenosine is a nucleoside that is composed of adenine and d-ribose. Adenosine or adenosine derivatives play many important biological roles in addition to being components of DNA and RNA. For instance, adenosine plays an important role in energy transfer - as adenosine triphosphate (ATP) and adenosine diphosphate (ADP). It also plays a role in signal transduction as cyclic adenosine monophosphate, cAMP. Adenosine itself is both a neurotransmitter and potent vasodilator. When administered intravenously, adenosine causes transient heart block in the AV node. Because of the effects of adenosine on AV node-dependent supraventricular tachycardia, adenosine is considered a class V antiarrhythmic agent.",2018-08-16 02:02:20 UTC,2019-03-21 00:34:11 UTC,-13.31,-13.31,-13.31,-6.83,-6.83,-7.51,-12.49,,,,,
218,Albendazole,Albendazole,1,Neutral,3,Organoheterocyclic compounds,3,-3.8,-3.74,-3.74,265,Albendazole,2082,HMDB14659,16664,DB00518,C01779,,,ABCB1(i),"Cytoplasm, Extracellular, Membrane","Albendazole is a benzimidazole broad-spectrum anthelmintic structurally related to mebendazole that is effective against many diseases. (From Martindale, The Extra Pharmacopoeia, 30th ed, p38)Albendazole causes degenerative alterations in the tegument and intestinal cells of the worm by binding to the colchicine-sensitive site of tubulin, thus inhibiting its polymerization or assembly into microtubules. The loss of the cytoplasmic microtubules leads to impaired uptake of glucose by the larval and adult stages of the susceptible parasites, and depletes their glycogen stores. Degenerative changes in the endoplasmic reticulum, the mitochondria of the germinal layer, and the subsequent release of lysosomes result in decreased production of adenosine triphosphate (ATP), which is the energy required for the survival of the helminth. Due to diminished energy production, the parasite is immobilized and eventually dies.",2018-08-16 02:02:20 UTC,2019-03-21 00:34:11 UTC,-4.68,-4.68,-4.68,-4.44,-4.44,-4.21,-4.91,,,,,
219,Albuterol,Albuterol,2,Bases,4,Benzenoids,3,-3.1,-5.67,-3.49,239,9.4,Salbutamol,123600,HMDB01937,8746,DB01001,C11770,68H,SLC22A1(s),,,"Salbutamol (albuterol) is a short-acting, selective beta2-adrenergic receptor agonist used in the treatment of asthma and COPD. It is 29 times more selective for beta2 receptors than beta1 receptors giving it higher specificity for pulmonary beta receptors versus beta1-adrenergic receptors located in the heart. Salbutamol is formulated as a racemic mixture of the R- and S-isomers. The R-isomer has 150 times greater affinity for the beta2-receptor than the S-isomer and the S-isomer has been associated with toxicity. This lead to the development of levalbuterol, the single R-isomer of salbutamol. However, the high cost of levalbuterol compared to salbutamol has deterred wide-spread use of this enantiomerically pure version of the drug. Salbutamol is generally used for acute episodes of bronchospasm caused by bronchial asthma, chronic bronchitis and other chronic bronchopulmonary disorders such as chronic obstructive pulmonary disorder (COPD).",2018-08-16 02:02:20 UTC,2019-05-22 02:17:34 UTC,-7.34,-6.45,-4.44,-5.17,-4.37,-4.12,-4.7,,,,
220,Aldosterone,Aldosterone,1,Neutral,9,Lipids and lipid-like molecules,3,-2.7,-5.7,-5.7,360,Aldosterone,24758425,HMDB00037,27584,DB04630,C01780,AS4,"SLC22A5(i), SLCO1A2(i)","ABCB1(s,i)","Cytoplasm, Extracellular, Membrane, Mitochondria","Aldosterone is a steroid hormone produced by the adrenal cortex in the adrenal gland to regulate sodium and potassium balance in the blood. Specifically it regulates electrolyte and water balance by increasing the renal retention of sodium and the excretion of potassium. It is synthesized from cholesterol by aldosterone synthase, which is absent in other sections of the adrenal gland. It is the sole endogenous member of the class of mineralocorticoids. Aldosterone increases the permeability of the apical (luminal) membrane of the kidney's collecting ducts to potassium and sodium and activates their basolateral Na+/K+ pumps, stimulating ATP hydrolysis, reabsorbing sodium (Na+) ions and water into the blood, and excreting potassium (K+) ions into the urine.",2018-08-16 02:02:20 UTC,2019-03-21 00:34:11 UTC,-6.48,-6.48,-6.48,-4.94,-4.94,-4.9,-6.5,,,,,
221,Alfentanil,Alfentanil,2,Bases,4,Benzenoids,9,-4.6,-1.52,-1.36,417,6.25,Alfentanil,51263,HMDB14940,2569,DB00802,C08005,,,ABCB1(i),"Extracellular, Membrane","A short-acting opioid anesthetic and analgesic derivative of fentanyl. It produces an early peak analgesic effect and fast recovery of consciousness. Alfentanil is effective as an anesthetic during surgery, for supplementation of analgesia during surgical procedures, and as an analgesic for critically ill patients. ",2018-08-16 02:02:20 UTC,2019-05-22 02:17:34 UTC,-2.63,-2.63,-2.48,-3.87,-3.83,-3.37,-2.98,,,,
222,Alprazolam,Alprazolam,1,Neutral,3,Organoheterocyclic compounds,3,-5.8,2.2,2.2,309,Alprazolam,2118,HMDB14548,2611,DB00404,C06817,08H,,,"Cytoplasm, Membrane","Alprazolam is a triazolobenzodiazepine compound with antianxiety and sedative-hypnotic actions, that is efficacious in the treatment of panic disorders, with or without agoraphobia, and in generalized anxiety disorders. (From AMA Drug Evaluations Annual, 1994, p238)Benzodiazepines bind nonspecifically to benzodiazepine receptors BNZ1, which mediates sleep, and BNZ2, which affects muscle relaxation, anticonvulsant activity, motor coordination, and memory. As benzodiazepine receptors are thought to be coupled to gamma-aminobutyric acid-A  receptors, this enhances the effects of GABA by increasing GABA affinity for the GABA receptor. Binding of the inhibitory neurotransmitter GABA to the site opens the chloride channel, resulting in a hyperpolarized cell membrane that prevents further excitation of the cell.",2018-08-16 02:02:20 UTC,2019-03-21 00:34:11 UTC,0.81,0.81,0.81,-2.92,-2.92,-2.12,-0.1,,,,,
223,Aminoglutethimide,Aminoglutethimide,1,Neutral,4,Benzenoids,3,-2.8,-3.93,-3.93,232,Aminoglutethimide,2145,HMDB14501,2654,DB00357,C07617,,,,Membrane,An aromatase inhibitor that produces a state of 'medical' adrenalectomy by blocking the production of adrenal steroids. It also blocks the conversion of androgens to estrogens. Aminoglutethimide has been used in the treatment of advanced breast and prostate cancer. It was formerly used for its weak anticonvulsant properties. ,2018-08-16 02:02:20 UTC,2019-03-21 00:34:11 UTC,-4.86,-4.86,-4.86,-4.48,-4.48,-4.28,-5.07,,,,,
224,Aminophenazone,Aminopyrine,1,Neutral,3,Organoheterocyclic compounds,2,-2.8,-0.71,-0.66,231,5,Aminophenazone,6009,HMDB15493,160246,DB01424,C07539,,SLC22A6(i),,Membrane,"Aminophenazone (aminopyrine) is a pyrazolone with analgesic, anti-inflammatory, and antipyretic properties but has risk of agranulocytosis. A breath test with 13C-labeled aminopyrine has been used as a non-invasive measure of cytochrome P-450 metabolic activity in liver function tests. Aminophenazone is metabolized very slowly by normal newborn babies. In older infants, a higher amount of exhaled 13-CO2 is observed.",2018-08-16 02:02:20 UTC,2019-05-22 02:17:34 UTC,-1.88,-1.88,-1.83,-3.66,-3.65,-3.13,-2.41,,,,
225,Amiodarone,Amiodarone,2,Bases,1,Organooxygen compounds,3,-6.6,0.17,3.29,645,10.24,Amiodarone,2157,HMDB15250,2663,DB01118,C06823,,,"ABCB1(i, inducer), ABCG2(i), ABCC2(i)",Membrane,"Amiodarone is an antianginal and antiarrhythmic drug. It increases the duration of ventricular and atrial muscle action by inhibiting Na,K-activated myocardial adenosine triphosphatase. There is a resulting decrease in heart rate and in vascular resistance. The antiarrhythmic effect of amiodarone may be due to at least two major actions. It prolongs the myocardial cell-action potential duration and refractory period and acts as a noncompetitive a- and b-adrenergic inhibitor.",2018-08-16 02:02:20 UTC,2019-05-22 02:17:34 UTC,-1.93,-1.07,1.81,-3.67,-2.64,-1.74,0.78,,,,
226,Amitriptyline,Amitriptyline,2,Bases,4,Benzenoids,7,-5.6,2.18,3.79,277,9.17,Amitriptyline,2160,HMDB14466,2666,DB00321,C06824,TP0,"SLC22A1(i), SLC22A2(i)","ABCB1(s,i), ABCG2(i), ABCC2(i)","Extracellular, Membrane","Amitriptyline hydrochloride is a dibenzocycloheptene-derivative tricyclic antidepressant (TCA). TCAs are structurally similar to phenothiazines. They contain a tricyclic ring system with an alkyl amine substituent on the central ring. In non-depressed individuals, amitriptyline does not affect mood or arousal, but may cause sedation. In depressed individuals, amitriptyline exerts a positive effect on mood. TCAs are potent inhibitors of serotonin and norepinephrine reuptake. Tertiary amine TCAs, such as amitriptyline, are more potent inhibitors of serotonin reuptake than secondary amine TCAs, such as nortriptyline. TCAs also down-regulate cerebral cortical &amp;beta;-adrenergic receptors and sensitize post-synaptic serotonergic receptors with chronic use. The antidepressant effects of TCAs are thought to be due to an overall increase in serotonergic neurotransmission. TCAs also block histamine, adrenergic and muscarinic receptors, which accounts for their sedative, hypotensive and anticholinergic effects (e.g. blurred vision, dry mouth, constipation, urinary retention), respectively. Amitriptyline may be used to treat depression, chronic pain, irritable bowel syndrome, diabetic neuropathy, post-traumatic stress disorder, and for migraine prophylaxis.",2018-08-16 02:02:20 UTC,2019-05-22 02:17:34 UTC,0.63,0.79,2.27,-2.97,-2.51,-1.56,1.19,,,,
227,Amlodipine,Amlodipine,2,Bases,3,Organoheterocyclic compounds,3,-2.6,-6.04,-4.04,409,9.27,Amlodipine,2162,HMDB05018,2668,DB00381,C06825,06X,,"ABCB1(i), ABCG2(i)",,"Amlodipine is a long-acting calcium channel blocker used as an anti-hypertensive and in the treatment of angina. As other calcium channel blockers, amlodipine acts by relaxing the smooth muscle in the arterial wall, decreasing peripheral resistance and hence improving blood pressure; in angina it improves blood flow to the myocardium.",2018-08-16 02:02:20 UTC,2019-05-22 02:17:34 UTC,-7.67,-6.8,-4.95,-5.26,-4.51,-4.32,-5.15,,,,
228,Aniline,Aniline,1,Neutral,4,Benzenoids,3,-2.9,0.31,0.31,93,Aniline,6115,HMDB03012,17296,DB06728,C00292,ANL,,,,"Aniline is an organic chemical compound, specifically a primary aromatic amine. It consists of a benzene ring attached to an amino group. Aniline is oily and, although colorless, it can be slowly oxidized and resinified in air to form impurities which can give it a red-brown tint. It is a liquid at room temperature. Like most volatile amines, it possesses a somewhat unpleasant odour of rotten fish, and also has a burning aromatic taste; it is a highly acrid poison. It ignites readily, burning with a large smoky flame. Aniline reacts with strong acids to form salts containing the anilinium (or phenylammonium) ion (C6H5-NH3+), and reacts with acyl halides (such as acetyl chloride (ethanoyl chloride), CH3COCl) to form amides. The amides formed from aniline are sometimes called anilides, for example CH3-CO-NH-C6H5 is acetanilide, for which the modern name is N-phenyl ethanamide.",2018-08-16 02:02:20 UTC,2019-03-21 00:34:11 UTC,-0.94,-0.94,-0.94,-3.4,-3.4,-2.79,-1.63,,,,,
229,Arabinose,Arabinose,1,Neutral,1,Organooxygen compounds,2,-1.4,-9.81,-9.81,150,Arabinose,66308,HMDB29942,46983,,,LAI,SLC2A1,,"Cytoplasm, Extracellular",D-Arabinose is found in sweet basil.,2018-08-16 02:02:20 UTC,2019-03-21 00:34:11 UTC,-10.28,-10.28,-10.28,-5.99,-5.99,-6.36,-9.83,,,,,
230,Ascorbic acid,Ascorbic_acid,3,Acids,3,Organoheterocyclic compounds,2,-1.5,-14.66,-11,176,4.17,Ascorbic acid,54670067,HMDB00044,17208,DB00126,C00072,ASC,"SLC23A1, SLC23A2, SLC23A3",,"Cytoplasm, Extracellular","Ascorbic acid is found naturally in citrus fruits and many vegetables and is an essential nutrient in human diets. It is necessary to maintain connective tissue and bone. The biologically active form of ascorbic acid is vitamin C. Vitamin C is a water soluble vitamin. Primates (including humans) and a few other species in all divisions of the animal kingdom, notably the guinea pig, have lost the ability to synthesize ascorbic acid and must obtain it in their food. Vitamin C functions as a reducing agent and coenzyme in several metabolic pathways. Vitamin C is considered an antioxidant.  Ascorbic acid is an electron donor for enzymes involved in collagen hydroxylation, biosynthesis of carnitine and norepinephrine, tyrosine metabolism, and amidation of peptide hormones. Ascrobic acid (vitamin C) deficiency causes scurvy. The amount of vitamin C necessary to prevent scurvy may not be adequate to maintain optimal health. The ability of vitamin C to donate electrons also makes it a potent water-soluble antioxidant that readily scavenges free radicals such as molecular oxygen, superoxide, hydroxyl radical, and hypochlorous acid.",2018-08-16 02:02:20 UTC,2019-05-22 02:17:34 UTC,-13.87,-14.75,-11.38,-6.98,-6.29,-6.78,-10.79,,,,
231,Astemizole,Astemizole,2,Bases,3,Organoheterocyclic compounds,7,-5,0.28,1.68,459,8.77,Astemizole,2247,HMDB14775,2896,DB00637,C06832,,"SLCO1B1(i), SLCO1B3(i), SLCO2B1(i)","ABCB1(s,i)",Membrane,"Astemizole is a long-acting, non-sedating second generation antihistamine used in the treatment of allergy symptoms. It was withdrawn from market by the manufacturer in 1999 due to the potential to cause arrhythmias at high doses, especially when when taken with CYP inhibitors or grapefruit juice.",2018-08-16 02:02:20 UTC,2019-05-22 02:17:34 UTC,-1.85,-0.97,0.32,-3.65,-3.05,-2.3,-0.52,,,,
232,Atomoxetine,Atomoxetine,2,Bases,4,Benzenoids,4,-5.5,0.6,2.94,255,9.66,Atomoxetine,54841,HMDB14434,127342,DB00289,,,"SLC6A2, SLC6A4, SLCO1B3(i)",ABCB1(s),Membrane,Atomoxetine is the first non-stimulant drug approved for the treatment of attention-deficit hyperactivity disorder. ,2018-08-16 02:02:21 UTC,2019-05-22 02:17:34 UTC,-1.54,-0.68,1.48,-3.57,-2.73,-1.86,0.5,,,,
233,Azythromycin,Azithromycin,2,Bases,12,Macrolides,3,-3.2,-5.55,-3.21,749,9.43,Azythromycin,53477736,HMDB01916,DB00207,C06838,ZIT,"SLCO1B1(i),SLCO2B1(i),SLCO1B3(i)","ABCB1(i), ABCC2(s,i)",,"Azithromycin is an azalide, a subclass of macrolide antibiotics. Azithromycin is derived from erythromycin; however, it differs chemically from erythromycin in that a methyl-substituted nitrogen atom is incorporated into the lactone ring, thus making the lactone ring 15-membered.Azithromycin is used to treat certain bacterial infections, most often bacteria causing middle ear infections, tonsillitis, throat infections, laryngitis, bronchitis, pneumonia and sinusitis. It is also effective against certain sexually transmitted infectious diseases, such as non-gonococcal urethritis and cervicitis.",2018-08-16 02:02:21 UTC,2019-05-22 02:17:34 UTC,-7.22,-6.35,-4.19,-5.14,-4.3,-4.03,-4.48,,,,,
234,Benazepril,Benazepril,3,Acids,6,"Amino acids, peptides, and analogues",3,-6,-3.73,1.21,424,3.7,Benazepril,5362124,HMDB14682,3011,DB00542,C06843,,"SLC15A1(s,i), SLC15A2(s)",,"Extracellular, Membrane","Benazepril, brand name Lotensin, is a medication used to treat high blood pressure (hypertension), congestive heart failure, and chronic renal failure. Upon cleavage of its ester group by the liver, benazepril is converted into its active form benazeprilat, a non-sulfhydryl angiotensin-converting enzyme inhibitor.",2018-08-16 02:02:21 UTC,2019-05-22 02:17:34 UTC,-3.79,-4.67,-0.11,-4.19,-3.17,-2.47,-0.9,,,,
235,Bendroflumethiazide,Bendroflumethiazide,1,Neutral,3,Organoheterocyclic compounds,3,-3.7,-6.24,-6.24,421,Bendroflumethiazide,2315,HMDB14580,3013,DB00436,C07758,,SLC12A3,,"Cytoplasm, Membrane","Bendroflumethiazide is a thiazide diuretic with actions and uses similar to those of hydrochlorothiazide. It has been used in the treatment of familial hyperkalemia, hypertension, edema, and urinary tract disorders. As a diuretic, bendroflumethiazide inhibits active chloride reabsorption at the early distal tubule via the Na-Cl cotransporter, resulting in an increase in the excretion of sodium, chloride, and water. Thiazides like bendroflumethiazide also inhibit sodium ion transport across the renal tubular epithelium through binding to the thiazide sensitive sodium-chloride transporter. This results in an increase in potassium excretion via the sodium-potassium exchange mechanism. The antihypertensive mechanism of bendroflumethiazide is less well understood although it may be mediated through its action on carbonic anhydrases in the smooth muscle or through its action on the large-conductance calcium-activated potassium (KCa) channel, also found in the smooth muscle.",2018-08-16 02:02:21 UTC,2019-03-21 00:34:12 UTC,-6.98,-6.98,-6.98,-5.07,-5.07,-5.1,-6.94,,,,,
236,Benzthiazide,Benzthiazide,3,Acids,3,Organoheterocyclic compounds,3,-4,-8.55,-6.79,432,6,Benzthiazide,2343,HMDB14702,3047,DB00562,C07759,,SLC12A3,,"Cytoplasm, Membrane","Benzthiazide is used to treat hypertension and edema. Like other thiazides, benzthiazide promotes water loss from the body (diuretics). They inhibit Na+/Cl- reabsorption from the distal convoluted tubules in the kidneys. Thiazides also cause loss of potassium and an increase in serum uric acid. Thiazides are often used to treat hypertension, but their hypotensive effects are not necessarily due to their diuretic activity. Thiazides have been shown to prevent hypertension-related morbidity and mortality although the mechanism is not fully understood. Thiazides cause vasodilation by activating calcium-activated potassium channels (large conductance) in vascular smooth muscles and inhibiting various carbonic anhydrases in vascular tissue.",2018-08-16 02:02:21 UTC,2019-05-22 02:17:34 UTC,-8.23,-9.11,-7.49,-5.42,-5.22,-5.29,-7.38,,,,
237,Bepridil,Bepridil,2,Bases,4,Benzenoids,3,-6,2.7,4.43,367,9.16,Bepridil,2351,HMDB15374,3061,DB01244,C06847,BEP,,"ABCB1(s,i), ABCG2","Cytoplasm, Membrane","Bepridil is a long-acting calcium-blocking agent with significant anti-anginal activity. The drug produces significant coronary vasodilation and modest peripheral effects. It has antihypertensive and selective anti-arrhythmia activities and acts as a calmodulin antagonist. Bepridil has inhibitory effects on both the slow calcium (L-type) and fast sodium inward currents in myocardial and vascular smooth muscle, interferes with calcium binding to calmodulin, and blocks both voltage and receptor operated calcium channels. Bepridil inhibits the transmembrane influx of calcium ions into cardiac and vascular smooth muscle. This has been demonstrated in isolated myocardial and vascular smooth muscle preparations in which both the slope of the calcium dose response curve and the maximum calcium-induced inotropic response were significantly reduced by bepridil. In cardiac myocytes in vitro, bepridil was shown to be tightly bound to actin. Bepridil regularly reduces heart rate and arterial pressure at rest and at a given level of exercise by dilating peripheral arterioles and reducing total peripheral resistance (afterload) against which the heart works.",2018-08-16 02:02:21 UTC,2019-05-22 02:17:34 UTC,0.5,1.27,2.87,-3,-2.35,-1.33,1.71,,,,
238,Biochanin A,Biochainin-A,3,Acids,10,Phenylpropanoids and polyketides,3,-2.6,-5.5,-3.73,284,6.55,Biochanin A,5280373,HMDB02338,17574,,C00814,QSO,SLCO1B1(i),"ABCB1(i), ABCG2(i)",,"The phytoestrogen biochanin A is an isoflavone derivative isolated from red clover Trifolium pratense with anticarcinogenic properties. Treating MCF-7 human breast carcinoma cells with biochanin A alone caused the accumulation of CYP1A1 mRNA and an increase in CYP1A1-specific 7-ethoxyresorufin O-deethylase (EROD) activity in a dose dependent manner. Biochanin A may be a natural ligand to bind on aryl hydrocarbon receptor acting as an antagonist/agonist of the pathway.  Biochanin A suppress nuclear factor-kappaB-driven interleukin-6 (IL6) expression. In addition to its physiologic immune function as an acute stress cytokine, sustained elevated expression levels of IL6 promote chronic inflammatory disorders, aging frailty, and tumorigenesis.  Biochanin A induces a decrease in invasive activity of U87MG cells in a dose-related manner.  Biochanin A activates peroxisome proliferator-activated receptors (PPAR) PPARalpha, PPARgamma, and adipocyte differentiation in vitro of 3T3-L1 preadipocytes, suggesting potential value of isoflavones, especially biochanin A and their parent botanicals, as antidiabetic agents and for use in regulating lipid metabolism. ",2018-08-16 02:02:21 UTC,2020-02-12 01:17:15 UTC,-5.32,-6.31,-4.67,-4.69,-4.43,-4.21,-4.89,,,,
239,Budesonide,Budesonide,1,Neutral,9,Lipids and lipid-like molecules,3,-4.1,-3.36,-3.36,431,Budesonide,5281004,HMDB15353,3207,DB01222,,,"SLC22A1(i), SLCO1B1(i), SLCO2B1(i), SLCO1B3(i)","ABCB1, ABCC2(i,inducer)","Cytoplasm, Extracellular, Membrane","Budesonide is a glucocorticoid used in the management of asthma, the treatment of various skin disorders, and allergic rhinitis. The exact mechanism of action of budesonide in the treatment of Crohn's disease is not fully understood. However, being a glucocorticosteroid, budesonide has a high local anti-inflammatory effect.",2018-08-16 02:02:21 UTC,2019-03-21 00:34:12 UTC,-4.33,-4.33,-4.33,-4.34,-4.34,-4.08,-4.6,,,,,
240,Bupivacaine,Bupivacaine,2,Bases,6,"Amino acids, peptides, and analogues",3,-5,2.06,2.66,288,8,Bupivacaine,2474,HMDB14442,3215,DB00297,C07529,,,,"Extracellular, Membrane","Bupivacaine is a widely used local anesthetic agent. Bupivacaine blocks the generation and the conduction of nerve impulses, presumably by increasing the threshold for electrical excitation in the nerve, by slowing the propagation of the nerve impulse, and by reducing the rate of rise of the action potential. Bupivacaine binds to the intracellular portion of sodium channels and blocks sodium influx into nerve cells, which prevents depolarization. In general, the progression of anesthesia is related to the diameter, myelination and conduction velocity of affected nerve fibers. Clinically, the order of loss of nerve function is as follows: (1) pain, (2) temperature, (3) touch, (4) proprioception, and (5) skeletal muscle tone. The analgesic effects of Bupivicaine are thought to potentially be due to its binding to the prostaglandin E2 receptors, subtype EP1 (PGE2EP1), which inhibits the production of prostaglandins, thereby reducing fever, inflammation, and hyperalgesia.",2018-08-16 02:02:21 UTC,2019-05-22 02:17:35 UTC,-0.2,0.68,1.23,-3.19,-2.8,-1.96,0.27,,,,
241,Bupropion,Bupropion,2,Bases,1,Organooxygen compounds,4,-3.9,1.07,1.83,240,8.22,Bupropion,444,HMDB01510,3219,DB01156,C06860,,"SLC6A2, SLC6A3, SLCO1B1(i), SLCO2B1, SLCO1B3(i)","ABCB1(s), ABCG2(s)",,"Bupropion is a selective catecholamine (norepinephrine and dopamine) reuptake inhibitor. It has only a small effect on serotonin reuptake. It does not inhibit MAO. The antidepressant effect of bupropion is considered to be mediated by its dopaminergic and noradrenergic action. Bupropion has also been shown to act as a competitive alpha-3-beta-4- nicotinic antagonist, the alpha-3-beta-4-antagonism has been shown to interrupt addiction in studies of other drugs such as ibogaine. This alpha-3-beta-4-antagonism correlates quite well with the observed effect of interrupting addiction. A unicyclic, aminoketone antidepressant. The mechanism of its therapeutic actions is not well understood, but it does appear to block dopamine uptake. The hydrochloride is available as an aid to smoking cessation treatment; Bupropion is a selective catecholamine (norepinephrine and dopamine) reuptake inhibitor. It has only a small effect on serotonin reuptake. It does not inhibit MAO. The antidepressant effect of bupropion is considered to be mediated by its dopaminergic and noradrenergic action. Bupropion has also been shown to act as a competitive alpha-3-beta-4-nicotinic antagonist, the alpha-3-beta-4-antagonism has been shown to interrupt addiction in studies of other drugs such as ibogaine. This alpha-3-beta-4-antagonism correlates quite well with the observed effect of interrupting addiction. Bupropion is an antidepressant of the aminoketone class, chemically unrelated to tricyclics or selective serotonin reuptake inhibitors (SSRIs). Bupropion is both a dopamine reuptake inhibitor and a norepinephrine reuptake inhibitor. It is often used as a smoking cessation aid.",2018-08-16 02:02:21 UTC,2019-05-22 02:17:35 UTC,-1.12,-0.23,0.46,-3.45,-3.01,-2.25,-0.4,,,,
242,Buspirone,Buspirone,2,Bases,3,Organoheterocyclic compounds,7,-4,-1.32,-1.38,386,8.22,Buspirone,2477,HMDB14633,3223,DB00490,C06861,,"SLC22A1(i), SLCO1B1(i)",ABCB1(i),Membrane,"Buspirone is an anxiolytic agent and a serotonin receptor agonist belonging to the azaspirodecanedione class of compounds. Its structure is unrelated to those of the benzodiazepines, but it has an efficacy comparable to diazepam. Buspirone binds to 5-HT type 1A serotonin receptors on presynaptic neurons in the dorsal raphe and on postsynaptic neurons in the hippocampus, thus inhibiting the firing rate of 5-HT-containing neurons in the dorsal raphe. Buspirone also binds at dopamine type 2 (DA2) receptors, blocking presynaptic dopamine receptors. Buspirone increases firing in the locus ceruleus, an area of brain where norepinephrine cell bodies are found in high concentration. The net result of buspirone actions is that serotonergic activity is suppressed while noradrenergic and dopaminergic cell firing is enhanced.",2018-08-16 02:02:21 UTC,2019-05-22 02:17:35 UTC,-2.38,-2.44,-2.5,-3.8,-3.83,-3.38,-3,,,,
243,Butanol,Butanol,1,Neutral,1,Organooxygen compounds,3,-2.2,-0.49,-0.49,74,1-Butanol,263,HMDB04327,28885,DB02145,C06142,1BO,,,,"1-Butanol, which is also known as n-butanol or 1-butanol or butyl alcohol (sometimes also called biobutanol when produced biologically), is an alcohol with a 4 carbon structure and the molecular formula of C4H10O. It is primarily used as a solvent, as an intermediate in chemical synthesis, and as a fuel. There are four isomeric structures for butanol. The straight chain isomer with the alcohol at an internal carbon is sec-butanol or 2-butanol. The branched isomer with the alcohol at a terminal carbon is isobutanol, and the branched isomer with the alcohol at the internal carbon is tert-butanol. 1-Butanol is produced in small amounts by gut microbial fermenetation through the butanoate metabolic pathway.",2018-08-16 02:02:21 UTC,2019-03-21 00:34:12 UTC,-1.68,-1.68,-1.68,-3.6,-3.6,-3.07,-2.28,,,,,
244,1-Butylamine,Butylamine,2,Bases,2,Organonitrogen compounds,1,-1.9,-3.82,-0.22,73,10.8,1-Butylamine,8007,HMDB31321,43799,DB03659,,LYT,,,"Cytoplasm, Extracellular","1-Butylamine is found in alcoholic beverages. 1-Butylamine is found in mulberry leaves, kale, swede, tomato, wheat bread, cheeses, caviar, raw fatty fish, cooked chicken or beef, beer, cocoa, and other foodstuffs.",2018-08-16 02:02:21 UTC,2019-05-22 02:17:33 UTC,-5.63,-4.75,-1.43,-4.7,-3.54,-2.97,-2.06,,,,
245,Carvedilol,Carvedilol,2,Bases,3,Organoheterocyclic compounds,3,-5.2,-2.64,-0.9,406,8.25,Carvedilol,2585,HMDB15267,3441,DB01136,C06875,CVD,SLC22A2(i),ABCB1(i),"Cytoplasm, Extracellular, Membrane","Carvedilol is a non-selective beta blocker indicated in the treatment of mild to moderate congestive heart failure (CHF).Carvedilol is a racemic mixture in which nonselective beta-adrenoreceptor blocking activity is present in the S(-) enantiomer and alpha-adrenergic blocking activity is present in both R(+) and S(-) enantiomers at equal potency. Carvedilol's beta-adrenergic receptor blocking ability decreases the heart rate, myocardial contractility, and myocardial oxygen demand. Carvedilol also decreases systemic vascular resistance via its alpha adrenergic receptor blocking properties. ",2018-08-16 02:02:21 UTC,2019-05-22 02:17:35 UTC,-4.54,-3.66,-2.06,-4.4,-3.71,-3.21,-2.61,,,,
